country,type,color
St. Vincent & Grenadines,eyeshadow,#DB589F
St. Vincent & Grenadines,foudation,#B37647
St. Vincent & Grenadines,lipstick,#D68E97
Sudan,blush,#F8BCAD
Sudan,eyeliner,#292929
Sudan,eyeshadow,#5C5B59
Sudan,foudation,#DDC3AC
Sudan,lipstick,#8D2029
Suriname,blush,#E49A8F
Suriname,eyeliner,#000000
Suriname,eyeshadow,#161815|#0E1215
Suriname,foudation,#CFAC8C
Suriname,lipstick,#FD507C
Swaziland,blush,#EC949D
Swaziland,eyeliner,#292929
Swaziland,eyeshadow,#F4D4C4|#BEA896|#C49992
Swaziland,foudation,#F0D3B5
Swaziland,lipstick,#7C243E
Sweden,blush,#F07082
Sweden,eyeliner,#000000
Sweden,eyeshadow,#FFFFEE|#934930|#5E3C3A
Sweden,foudation,#A7674F
Sweden,lipstick,#C20E25
Switzerland,blush,#F07082
Switzerland,eyeliner,#292929
Switzerland,eyeshadow,#8F6963
Switzerland,foudation,#A7674F
Switzerland,lipstick,#8F343B
Syria,blush,#E77B7C
Syria,eyeliner,#000000
Syria,eyeshadow,#A48779|#2E1C1C
Syria,foudation,#D5B9AE
Syria,lipstick,#D68E97
Taiwan,blush,#E88FA0
Taiwan,eyeliner,#000000
Taiwan,eyeshadow,#C09C83|#755042
Taiwan,foudation,#ECBAA8
Taiwan,lipstick,#E37773
Tajikistan,blush,#EA8FAD
Tajikistan,eyeliner,#000000
Tajikistan,eyeshadow,#A8A8AA|#E6DFD5|#353439|#807675|#4A4849
Tajikistan,foudation,#FBDFD0
Tajikistan,lipstick,#9B294D
Tanzania,blush,#ECBF98
Tanzania,eyeliner,#000000
Tanzania,eyeshadow,#AF8781|#B9816A|#292325
Tanzania,foudation,#854E2F
Tanzania,lipstick,#8D2029
Thailand,blush,#E77B7C
Thailand,eyeliner,#000000
Thailand,eyeshadow,#A48779|#2E1C1C
Thailand,foudation,#D5B9AE
Thailand,lipstick,#9B294D
Timor-Leste,blush,#C54A4C
Timor-Leste,eyeliner,#292929
Timor-Leste,eyeshadow,#5B3C11
Timor-Leste,foudation,#B37647
Timor-Leste,foudation,#FBDFD0
Timor-Leste,lipstick,#D86074
Togo,blush,#FCBA9D
Togo,eyeliner,#131512
Togo,eyeshadow,#884A49|#F8D1D9
Togo,foudation,#9A633A
Togo,lipstick,#9B294D
Tokelau,blush,#E17692
Tokelau,eyeliner,#454545
Tokelau,eyeshadow,#73423D|#EEBAC2|#A05551
Tokelau,eyeshadow,#978176
Tokelau,foudation,#E8CFBB
Tokelau,foudation,#E9C293
Tokelau,lipstick,#7A0611
Tokelau,lipstick,#A31A44
Tokelau,lipstick,#EABAAF
Tonga,blush,#E5937D
Tonga,eyeliner,#000000
Tonga,eyeshadow,#FEFEFE
Tonga,foudation,#DDC3AC
Tonga,lipstick,#B7221C
Trinidad & Tobago,blush,#E77B7C
Trinidad & Tobago,eyeliner,#000000
Trinidad & Tobago,eyeshadow,#AF8781|#B9816A|#292325
Trinidad & Tobago,foudation,#B37647
Trinidad & Tobago,lipstick,#81374A
Tunisia,blush,#FCBA9D
Tunisia,eyeliner,#000000
Tunisia,eyeshadow,#884A49|#F8D1D9
Tunisia,foudation,#FFFFFF
Tunisia,lipstick,#9F0005
Turkey,blush,#F07082
Turkey,eyeliner,#000000
Turkey,eyeshadow,#A48779|#2E1C1C
Turkey,foudation,#A7674F
Turkey,lipstick,#8F343B
Turkmenistan,blush,#EA8FAD
Turkmenistan,eyeliner,#000000
Turkmenistan,eyeshadow,#352E37|#C9C9C9
Turkmenistan,foudation,#FBDFD0
Turkmenistan,lipstick,#9B294D
Turks & Caicos Islands,blush,#F8BED7
Turks & Caicos Islands,eyeliner,#000000
Turks & Caicos Islands,eyeshadow,#E1B7A7
Turks & Caicos Islands,foudation,#DEB28D
Turks & Caicos Islands,lipstick,#CC8369
Tuvalu,blush,#E0A297
Tuvalu,eyeliner,#292929
Tuvalu,eyeshadow,#AF8781|#B9816A|#292325
Tuvalu,foudation,#FBDFD0
Tuvalu,lipstick,#E3026F
U.S. Virgin Islands,blush,#ECBF98
U.S. Virgin Islands,eyeliner,#000000
U.S. Virgin Islands,eyeshadow,#D9BAF5|#9658F7
U.S. Virgin Islands,foudation,#A56B51
U.S. Virgin Islands,lipstick,#8C121B
Uganda,blush,#ECAA90
Uganda,eyeliner,#292929
Uganda,eyeshadow,#5B3C11
Uganda,foudation,#854E2F
Uganda,lipstick,#9E003C
Ukraine,blush,#EA8FAD
Ukraine,eyeliner,#000000
Ukraine,eyeshadow,#352E37|#C9C9C9
Ukraine,foudation,#E3AC8A
Ukraine,lipstick,#9B294D
United Arab Emirates,blush,#E77B7C
United Arab Emirates,eyeliner,#292929
United Arab Emirates,eyeshadow,#A48779|#2E1C1C
United Arab Emirates,foudation,#D5B9AE
United Arab Emirates,lipstick,#C20E25
United Kingdom,blush,#E77B7C
United Kingdom,eyeliner,#292929
United Kingdom,eyeshadow,#5B3C11
United Kingdom,foudation,#CFAC8C
United Kingdom,lipstick,#B97B7B
United States,blush,#E77B7C
United States,eyeliner,#000000
United States,eyeshadow,#AF8781|#B9816A|#292325
United States,foudation,#D5B9AE
United States,lipstick,#A23646
Uruguay,blush,#F6938D
Uruguay,eyeliner,#000000
Uruguay,eyeshadow,#00000
Uruguay,foudation,#F3D3AE
Uruguay,lipstick,#9F0005
Uzbekistan,blush,#EA8FAD
Uzbekistan,eyeliner,#000000
Uzbekistan,eyeshadow,#352E37|#C9C9C9
Uzbekistan,foudation,#FBDFD0
Uzbekistan,lipstick,#9B294D
Vanuatu,blush,#A45F47
Vanuatu,eyeliner,#292929
Vanuatu,eyeshadow,#3F373F|#8D645E|#59434D
Vanuatu,foudation,#A56B51
Vanuatu,lipstick,#7C243E
Vanuatu,lipstick,#AD6566
Venezuela,blush,#F6938D
Venezuela,eyeliner,#000000
Venezuela,eyeshadow,#A48779|#2E1C1C
Venezuela,foudation,#FBDFD0
Venezuela,lipstick,#FF3296
Vietnam,blush,#E77B7C
Vietnam,eyeliner,#000000
Vietnam,eyeshadow,#AF8781|#B9816A|#292325
Vietnam,foudation,#D5B9AE
Vietnam,lipstick,#EB4B5D
Wallis & Futuna,blush,#C70B68
Wallis & Futuna,blush,#DD85B8
Wallis & Futuna,eyeliner,#131512
Wallis & Futuna,eyeshadow,#884A49|#F8D1D9
Wallis & Futuna,eyeshadow,#B58366
Wallis & Futuna,foudation,#874721
Wallis & Futuna,foudation,#9A633A
Wallis & Futuna,foudation,#D2A785
Wallis & Futuna,foudation,#DBAC80
Wallis & Futuna,foudation,#E0B491
Wallis & Futuna,foudation,#E2BB94
Wallis & Futuna,foudation,#FFB6C1
Wallis & Futuna,lipstick,#941729
Wallis & Futuna,lipstick,#BF554D
Wallis & Futuna,lipstick,#C21215
Western Sahara,blush,#EA529A
Western Sahara,eyeliner,#131512
Western Sahara,eyeshadow,#884A49|#F8D1D9
Western Sahara,foudation,#FFB6C1
Western Sahara,lipstick,#9F0005
Yemen,blush,#E17692
Yemen,eyeliner,#000000
Yemen,eyeshadow,#AF8781|#B9816A|#292325
Yemen,foudation,#F3D3AE
Yemen,lipstick,#9F0005
Zambia,blush,#FF5F3D
Zambia,eyeliner,#292929
Zambia,eyeshadow,#FFFFEE|#996B59|#3F373F
Zambia,foudation,#854E2F
Zambia,lipstick,#7C243E
Zimbabwe,blush,#F8BCAD
Zimbabwe,eyeliner,#292929
Zimbabwe,eyeshadow,#F4D4C4|#BEA896|#C49992
Zimbabwe,foudation,#854E2F
Zimbabwe,lipstick,#D68E97
